address: 0    , identifier: whatever       , type: nil       
address: 2    , identifier: r              , type: record    
address: 3    , identifier: d              , type: integer   
address: 4    , identifier: integer        , type: nil       
address: 5    , identifier: c              , type: record    
address: 6    , identifier: e              , type: record    
address: 9    , identifier: s              , type: record    
address: 10   , identifier: s3             , type: boolean   
address: 11   , identifier: boolean        , type: nil       
address: 12   , identifier: s2             , type: record    
address: 13   , identifier: s1             , type: record    
address: 14   , identifier: var1           , type: r         
address: 16   , identifier: var2           , type: array     
address: 18   , identifier: string         , type: nil       
address: 19   , identifier: var3           , type: array     
address: 20   , identifier: a              , type: integer   
address: 21   , identifier: var4           , type: s         
address: 22   , identifier: int1           , type: integer   
address: 23   , identifier: int2           , type: integer   
address: 24   , identifier: foo1           , type: 2         
address: 25   , identifier: foo3           , type: 0         
